Id,Title,Content,CreateDate,ModifiedDate,IsSynced,IsDeleted,Hash
c8f1a3e2-9d4b-4f6a-8c1e-2a7f3b9d1e01,"Generate a blog intro","Write a compelling introduction for a blog post about AI in healthcare",2025-08-01T10:15:00Z,2025-08-01T10:15:00Z,false,false,3f9d6b1f7e7e7c3a5f2e6e3b7c9a1d2c3b4e5f60718293a4b5c6d7e8091a2b3
f2b7c9a1-3e6d-4b2a-9f8c-7d1e4a3b2c02,"Explain quantum computing","Describe quantum computing in simple terms for a high school student",2025-08-02T14:30:00Z,2025-08-02T14:30:00Z,false,false,8a1c4f6e2b3d7e9f0a1b2c3d4e5f60718293a4b5c6d7e8091a2b3c4d5e6f708
a9d3f1e4-5c2b-4e7a-8d9f-3b1c6a2e7d03,"Create a product description","Write a short description for a new eco-friendly water bottle",2025-08-03T09:45:00Z,2025-08-03T09:45:00Z,false,false,7c9d1e2f3a4b5c6d7e8091a2b3c4d5e6f708192a3b4c5d6e7f8091a2b3c4d5e
e1f6a2b3-7d4c-4a9e-b2f1-6c3d9e8f0a04,"Write a tweet","Generate a witty tweet about productivity hacks",2025-08-04T11:20:00Z,2025-08-04T11:20:00Z,false,false,6e5f4a3b2c1d0e9f8a7b6c5d4e3f2a1b0c9d8e7f6a5b4c3d2e1f0a9b8c7d6e5
b3c7d8e9-0a1f-4b2c-8d3e-9f0a1b2c3d05,"Translate to Spanish","Translate this sentence to Spanish: AI is transforming the world.",2025-08-05T13:10:00Z,2025-08-05T13:10:00Z,false,false,5d4c3b2a1f0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4
d9e0f1a2-3b4c-4d5e-9a7b-1c2d3e4f5a06,"Summarize article","Summarize the key points of a news article about climate change",2025-08-06T15:00:00Z,2025-08-06T15:00:00Z,false,false,4c3b2a1f0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3
a1b2c3d4-1e2f-4b5c-d6e7-9f0a1b2c3d07,"Generate code snippet","Write a Python function to reverse a string",2025-08-07T08:25:00Z,2025-08-07T08:25:00Z,false,false,3b2a1f0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3a2
b2c3d4e5-2f3a-4c5d-e6f7-0a1b2c3d4e08,"Create a headline","Generate a catchy headline for a startup launch",2025-08-08T12:40:00Z,2025-08-08T12:40:00Z,false,false,2a1f0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3a2f1
c3d4e5f6-3a4b-4d5e-f6a7-1b2c3d4e5f09,"Explain blockchain","Explain how blockchain works using a pizza analogy",2025-08-09T16:55:00Z,2025-08-09T16:55:00Z,false,false,1f0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3a2f1e0
d4e5f6a7-4b5c-4e6f-a7b8-2c3d4e5f6a10,"Write a prompt","Create a prompt for generating a sci-fi story about time travel",2025-08-10T18:05:00Z,2025-08-10T18:05:00Z,false,false,0e9d8c7b6a5e4d3c2b1a0f9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3a2f1e0d9
